ip,uplink_length,downlink_length,sum_length
10.56.236.7,0,0,0
10.56.237.21,3869,1588,5457
10.56.240.126,603216,469311,1072527
10.56.240.175,164483,499307,663790
10.56.240.199,3585,9000,12585
10.56.240.21,130428,115927,246355
10.56.240.223,812,5355,6167
10.56.240.233,403,499,902
10.56.245.10,487533,496522,984055
10.56.245.101,531,418,949
10.56.245.104,53132,35042,88174
10.56.245.107,507,399,906
10.56.245.11,47401,41643,89044
10.56.245.110,800,1025,1825
10.56.245.111,946763,758233,1704996
10.56.245.112,202778,270890,473668
10.56.245.115,229295,387821,617116
10.56.245.116,632,23646,24278
10.56.245.118,10314,1636,11950
10.56.245.12,1267,5120,6387
10.56.245.120,608,493,1101
10.56.245.123,9309,15531,24840
10.56.245.126,841,4874,5715
10.56.245.127,108186,94507,202693
10.56.245.129,4858,881,5739
10.56.245.13,21009,9731,30740
10.56.245.131,43983,49205,93188
10.56.245.132,4059,2570,6629
10.56.245.133,425,485,910
10.56.245.134,0,0,0
10.56.245.135,77254,226586,303840
10.56.245.146,119454,157488,276942
10.56.245.147,1290,676,1966
10.56.245.148,4236,30690,34926
10.56.245.149,233522,205945,439467
10.56.245.15,164700,145454,310154
10.56.245.154,398194,487384,885578
10.56.245.157,556421,690575,1246996
10.56.245.158,992,8950,9942
10.56.245.162,0,0,0
10.56.245.165,3058,4092,7150
10.56.245.166,1682,2332,4014
10.56.245.171,43101,5336,48437
10.56.245.176,4708,4030,8738
10.56.245.178,18997,583922,602919
10.56.245.179,418994,299982,718976
10.56.245.18,1172,946,2118
10.56.245.180,218790,178067,396857
10.56.245.182,121014,115551,236565
10.56.245.185,613,469,1082
10.56.245.189,330028,254080,584108
10.56.245.199,173547,168651,342198
10.56.245.20,322744,288324,611068
10.56.245.203,485125,624976,1110101
10.56.245.206,197699,169651,367350
10.56.245.208,23307,10404,33711
10.56.245.210,193362,136661,330023
10.56.245.211,21886,681248,703134
10.56.245.217,29828,21948,51776
10.56.245.219,1498,5088,6586
10.56.245.221,630,4974,5604
10.56.245.222,377895,349667,727562
10.56.245.223,1559695,9699579,11259274
10.56.245.225,82625,73620,156245
10.56.245.228,1729974,63266496,64996470
10.56.245.229,50508939,342009394,392518333
10.56.245.230,1557,1221,2778
10.56.245.231,610507,479662,1090169
10.56.245.232,738,4974,5712
10.56.245.233,96238,100653,196891
10.56.245.238,498670,352062,850732
10.56.245.241,542,471,1013
10.56.245.243,44434,1047917,1092351
10.56.245.245,251445,209937,461382
10.56.245.247,447845,409832,857677
10.56.245.25,5055,36141,41196
10.56.245.251,1178,1046,2224
10.56.245.255,87712,70062,157774
10.56.245.32,74480,83388,157868
10.56.245.34,1021563,766236,1787799
10.56.245.37,257904,208291,466195
10.56.245.43,6869,11674,18543
10.56.245.50,106865,79670,186535
10.56.245.51,5429,8598,14027
10.56.245.54,185340,165728,351068
10.56.245.55,617,512,1129
10.56.245.59,7044,1558,8602
10.56.245.63,248434,786878,1035312
10.56.245.64,766132,6751119,7517251
10.56.245.66,341525,539406,880931
10.56.245.67,1068343,982911,2051254
10.56.245.77,1024,798,1822
10.56.245.85,62870,40123,102993
10.56.245.86,170655,184732,355387
10.56.245.87,24538,822020,846558
10.56.245.9,1414,1162,2576
10.56.245.90,240741,182017,422758
10.56.245.92,253786,200309,454095
10.56.245.93,375324,353799,729123
10.56.245.95,93758,88697,182455
10.56.245.97,22110,25082,47192
10.56.245.98,442162,366783,808945
10.56.246.1,15625,15123,30748
10.56.246.120,1421,6146,7567
10.56.246.123,5347,1797,7144
10.56.246.129,533783,479640,1013423
10.56.246.131,534,419,953
10.56.246.136,1059,579,1638
10.56.246.147,248711,276935,525646
10.56.246.179,936,4972,5908
10.56.246.182,126579,152131,278710
10.56.246.192,6376,98127,104503
10.56.246.199,1637,7182,8819
10.56.246.2,3333,9394,12727
10.56.246.206,1829,444,2273
10.56.246.21,7077,10839,17916
10.56.246.210,171148,154219,325367
10.56.246.233,704,4974,5678
10.56.246.252,4900,14227,19127
10.56.246.35,2286,184880,187166
10.56.246.95,10570,32697,43267
10.56.248.21,27000,33797,60797
10.56.249.10,539618,482725,1022343
10.56.249.107,180611,104052,284663
10.56.249.108,108131,100399,208530
10.56.249.110,227345,215876,443221
10.56.249.115,247076,242390,489466
10.56.249.116,7670,3948,11618
10.56.249.118,53409,53926,107335
10.56.249.12,198350,158765,357115
10.56.249.120,3041,1248,4289
10.56.249.123,39308,36055,75363
10.56.249.127,12860,13197,26057
10.56.249.128,819,1235,2054
10.56.249.129,488427,356070,844497
10.56.249.13,49442,16458,65900
10.56.249.134,181844,147482,329326
10.56.249.146,339705,278016,617721
10.56.249.15,138532,100549,239081
10.56.249.154,298474,223625,522099
10.56.249.162,47917,49008,96925
10.56.249.165,1931,1733,3664
10.56.249.169,18821,3016,21837
10.56.249.175,1132,878,2010
10.56.249.176,43299,21313,64612
10.56.249.179,463927,343100,807027
10.56.249.18,162724,124950,287674
10.56.249.182,16717,11935,28652
10.56.249.185,511,399,910
10.56.249.186,205403,175513,380916
10.56.249.19,283834,265739,549573
10.56.249.192,693,8950,9643
10.56.249.196,8042,6083,14125
10.56.249.204,211254,424751,636005
10.56.249.21,75040,72315,147355
10.56.249.210,628,167,795
10.56.249.219,230736,180291,411027
10.56.249.223,425484,343168,768652
10.56.249.225,254774,249750,504524
10.56.249.231,121415,99400,220815
10.56.249.232,148943,105430,254373
10.56.249.233,31391,24597,55988
10.56.249.241,6022,2989,9011
10.56.249.247,1996,444,2440
10.56.249.30,7772,6298,14070
10.56.249.32,46014,52927,98941
10.56.249.34,443270,371392,814662
10.56.249.35,1236,1024,2260
10.56.249.50,0,0,0
10.56.249.56,3726,963,4689
10.56.249.66,17475,10252,27727
10.56.249.67,14815,2467,17282
10.56.249.7,22505,23536,46041
10.56.249.80,2910,6901,9811
10.56.249.86,24129,25590,49719
10.56.249.87,15840,13680,29520
10.56.249.9,112260,2260546,2372806
10.56.249.90,816,116,932
10.56.249.95,776,940,1716
10.56.249.98,177331,144187,321518
10.56.250.116,275917,202784,478701
10.56.250.126,1631,14824,16455
10.56.250.129,257316,200460,457776
10.56.250.136,625286,492008,1117294
10.56.250.19,19646,2668,22314
10.56.250.199,9672,3082,12754
10.56.250.21,792,4873,5665
10.56.250.223,119989,134085,254074
10.56.250.35,180639,140661,321300
10.56.250.95,1296391,1054370,2350761
10.56.252.115,729,1612,2341
10.56.252.118,455045,3384904,3839949
10.56.252.12,50765,505396,556161
10.56.252.126,325226,3169084,3494310
10.56.252.128,14598,22251,36849
10.56.252.131,127300,4758892,4886192
10.56.252.147,201433,1212071,1413504
10.56.252.179,269521586,1847277027,2116798613
10.56.252.18,30609,1019370,1049979
10.56.252.206,2077,12199,14276
10.56.252.21,184976,1401604,1586580
10.56.252.223,291807,1353574,1645381
10.56.252.225,147483,101671,249154
10.56.252.233,12082,33439,45521
10.56.252.50,23143,32111,55254
10.56.252.7,805532,495441,1300973
10.56.252.80,116132,104000,220132
10.56.252.87,1944,2170,4114
10.56.252.90,274977,222017,496994
10.56.252.98,311617,215048,526665
10.56.26.10,289415,249610,539025
10.56.26.101,252159,192922,445081
10.56.26.102,147719,474026,621745
10.56.26.103,51957,64354,116311
10.56.26.108,235032,358076,593108
10.56.26.112,358905,320805,679710
10.56.26.115,225548,170729,396277
10.56.26.116,2232,1812,4044
10.56.26.118,281509,637856,919365
10.56.26.120,21904,20586,42490
10.56.26.124,410017,367333,777350
10.56.26.126,18343,22122,40465
10.56.26.128,14374,5112,19486
10.56.26.129,5094,4493,9587
10.56.26.130,552,453,1005
10.56.26.131,2871,1650,4521
10.56.26.132,124289,1795642,1919931
10.56.26.133,0,0,0
10.56.26.135,1531,601,2132
10.56.26.136,593923,429104,1023027
10.56.26.14,55687,42721,98408
10.56.26.146,1114,884,1998
10.56.26.147,207458,151484,358942
10.56.26.148,991373,1646575,2637948
10.56.26.150,177234,143635,320869
10.56.26.154,243002,223006,466008
10.56.26.157,84263,1670994,1755257
10.56.26.159,17427,11775,29202
10.56.26.16,634,4974,5608
10.56.26.162,115468,91692,207160
10.56.26.165,5845,2651,8496
10.56.26.166,153900,486827,640727
10.56.26.168,221566,185109,406675
10.56.26.169,12680,12978,25658
10.56.26.172,102950,88757,191707
10.56.26.173,24127,28486,52613
10.56.26.175,193032,1560251,1753283
10.56.26.176,4318,3101,7419
10.56.26.177,47415,59440,106855
10.56.26.18,34726,84332,119058
10.56.26.182,609,1460,2069
10.56.26.189,428675,802990,1231665
10.56.26.191,10034,9602,19636
10.56.26.192,711062,429183,1140245
10.56.26.196,103729,2841004,2944733
10.56.26.204,9557,162692,172249
10.56.26.206,40008,38712,78720
10.56.26.207,25455,28472,53927
10.56.26.208,264319,192807,457126
10.56.26.209,6751,12480,19231
10.56.26.210,0,0,0
10.56.26.212,8273,10914,19187
10.56.26.213,169927,301573,471500
10.56.26.214,560336,478177,1038513
10.56.26.217,402264,2983969,3386233
10.56.26.219,58084,69101,127185
10.56.26.222,316569,299497,616066
10.56.26.223,79511,344794,424305
10.56.26.225,76472,2663801,2740273
10.56.26.236,366774,4876456,5243230
10.56.26.238,958,9919,10877
10.56.26.239,362906,292397,655303
10.56.26.241,94441,782830,877271
10.56.26.244,7426,11016,18442
10.56.26.247,2479,2060,4539
10.56.26.251,709485,9618753,10328238
10.56.26.252,23702,19902,43604
10.56.26.253,1800,1901,3701
10.56.26.32,14477,162945,177422
10.56.26.34,24884,33844,58728
10.56.26.36,201896,400720,602616
10.56.26.44,238141,393565,631706
10.56.26.46,15030,35451,50481
10.56.26.47,303326,2389696,2693022
10.56.26.48,628,520,1148
10.56.26.50,3244,5473,8717
10.56.26.53,264631,224454,489085
10.56.26.54,824,5355,6179
10.56.26.55,231717,153323,385040
10.56.26.56,8696,8401,17097
10.56.26.59,452341,367408,819749
10.56.26.63,28246,92154,120400
10.56.26.66,215828,4153609,4369437
10.56.26.67,426758,338602,765360
10.56.26.70,244067,224290,468357
10.56.26.71,323675,1525911,1849586
10.56.26.77,200511,6405742,6606253
10.56.26.80,244849,366239,611088
10.56.26.81,18618,13788,32406
10.56.26.82,190156,146873,337029
10.56.26.86,515871,4929452,5445323
10.56.26.87,0,0,0
10.56.26.9,23729,15111,38840
10.56.26.93,17332,52325,69657
10.56.26.97,580465,503007,1083472
10.56.26.98,40865,50508,91373
10.56.27.120,865,5721,6586
10.56.27.127,4139,24942,29081
10.56.27.129,196002,136621,332623
10.56.27.175,362,4475,4837
10.56.27.21,1528,5450,6978
10.56.27.223,174804,127353,302157
10.56.27.232,1625,18632,20257
10.56.27.233,37421,44177,81598
10.56.27.252,262263,202237,464500
10.56.27.7,1348,946,2294
10.56.27.9,0,0,0
10.56.28.118,3691,3523,7214
10.56.28.120,196651,171651,368302
10.56.28.123,112484,2871126,2983610
10.56.28.126,97376,82167,179543
10.56.28.127,93713,172965,266678
10.56.28.129,114973,171709,286682
10.56.28.131,61172,66874,128046
10.56.28.147,571,459,1030
10.56.28.175,139075,249999,389074
10.56.28.179,2180,6080,8260
10.56.28.189,1787,10359,12146
10.56.28.210,209560,312524,522084
10.56.28.223,124977,92982,217959
10.56.28.233,1381,1494,2875
10.56.28.252,0,0,0
10.56.28.35,0,0,0
10.56.28.50,463281,354776,818057
10.56.28.7,220950,179251,400201
10.56.28.80,98782,74244,173026
10.56.28.87,317,4475,4792
10.56.28.9,9679,12101,21780
10.56.28.90,90963,85645,176608
10.56.28.98,217193,181500,398693
10.56.29.115,5349,6369,11718
10.56.29.123,219584,182572,402156
10.56.29.126,69976,56924,126900
10.56.29.127,130765,133474,264239
10.56.29.128,566188,469881,1036069
10.56.29.129,210940,152491,363431
10.56.29.130,287017,429409,716426
10.56.29.134,201483,157974,359457
10.56.29.147,608,492,1100
10.56.29.148,58659,116963,175622
10.56.29.175,596,1728,2324
10.56.29.176,7527,14961,22488
10.56.29.199,7597,6264,13861
10.56.29.204,259488,569191,828679
10.56.29.21,888,13426,14314
10.56.29.223,702,522,1224
10.56.29.229,221940,1848490,2070430
10.56.29.233,9531,7355,16886
10.56.29.35,209496,538236,747732
10.56.29.50,277314,2396556,2673870
10.56.29.67,292872,398978,691850
10.56.29.7,449178,726138,1175316
10.56.29.90,14282,36456,50738
10.56.29.95,270547,203340,473887
10.56.29.98,225513,188363,413876
10.56.30.107,0,0,0
10.56.30.115,1842,5479,7321
10.56.30.123,0,0,0
10.56.30.128,189147,174343,363490
10.56.30.148,9985,10053,20038
10.56.30.157,6370,9645,16015
10.56.30.159,21464,27108,48572
10.56.30.162,2508,4042,6550
10.56.30.179,373739,322571,696310
10.56.30.192,297288,1424384,1721672
10.56.30.199,14933,15841,30774
10.56.30.20,1504,6758,8262
10.56.30.225,3385,4301,7686
10.56.30.232,954,4974,5928
10.56.30.233,280947,212192,493139
10.56.30.252,628,4972,5600
10.56.30.35,25221,43955,69176
10.56.30.7,11163,2786,13949
10.56.30.87,370095,431559,801654
10.56.30.9,198705,157637,356342
10.56.31.120,770,1205,1975
10.56.31.175,656,4972,5628
10.56.31.98,3089,5522,8611
10.56.32.118,114847,120820,235667
10.56.32.12,1074,846,1920
10.56.32.123,3575,464,4039
10.56.32.126,96584,111296,207880
10.56.32.128,33755,9997,43752
10.56.32.136,1863,1938,3801
10.56.32.147,469754,545025,1014779
10.56.32.182,162835,166526,329361
10.56.32.192,371968,268628,640596
10.56.32.21,127217,132773,259990
10.56.32.210,61539,56438,117977
10.56.32.225,10525,2226,12751
10.56.32.233,1064,924,1988
10.56.32.35,110306,79864,190170
10.56.32.50,13789,19310,33099
10.56.32.7,743,116,859
10.56.32.80,98962,65472,164434
10.56.32.86,1952,11721,13673
10.56.32.9,139150,114286,253436
10.56.32.90,230878,161423,392301
10.56.34.10,3588,863,4451
10.56.34.101,134608,543345,677953
10.56.34.107,1740343,5951781,7692124
10.56.34.123,1262895,19760372,21023267
10.56.34.129,382827,882715,1265542
10.56.34.13,79172,95813,174985
10.56.34.131,12297,11672,23969
10.56.34.134,886199,1759512,2645711
10.56.34.139,519,362,881
10.56.34.142,598980,455082,1054062
10.56.34.143,14842,264679,279521
10.56.34.144,77109,64397,141506
10.56.34.148,1198,9447,10645
10.56.34.154,1202,846,2048
10.56.34.156,617,167,784
10.56.34.157,1678495739,4139018822,5817514561
10.56.34.162,555648,1935998,2491646
10.56.34.173,513,399,912
10.56.34.177,86213,1081327,1167540
10.56.34.178,296623,600967,897590
10.56.34.179,1211,1474,2685
10.56.34.185,309728,1496277,1806005
10.56.34.19,9823,10534,20357
10.56.34.190,970548,3236099,4206647
10.56.34.192,761,2851,3612
10.56.34.202,10647,11083,21730
10.56.34.204,4424,6140,10564
10.56.34.206,434859,671099,1105958
10.56.34.208,612190,722228,1334418
10.56.34.209,181163,131735,312898
10.56.34.210,1334,13922,15256
10.56.34.212,740,4974,5714
10.56.34.213,0,0,0
10.56.34.214,317,4475,4792
10.56.34.219,700,946,1646
10.56.34.222,219190,487698,706888
10.56.34.228,83249,1181260,1264509
10.56.34.230,305461,248700,554161
10.56.34.231,0,0,0
10.56.34.232,33293,6211,39504
10.56.34.236,337444,1586244,1923688
10.56.34.238,233684,179148,412832
10.56.34.241,330145,790177,1120322
10.56.34.244,27456,374955,402411
10.56.34.252,3094,12188,15282
10.56.34.253,380463,309624,690087
10.56.34.34,110966,620024,730990
10.56.34.36,1414,515,1929
10.56.34.39,153893,482556,636449
10.56.34.50,974380,2551055,3525435
10.56.34.53,305959,1344017,1649976
10.56.34.56,911109,1357369,2268478
10.56.34.59,365613,2909645,3275258
10.56.34.63,549361,3347305,3896666
10.56.34.67,677502,9534274,10211776
10.56.34.7,136207,1735092,1871299
10.56.34.70,232035,693930,925965
10.56.34.75,14017,185491,199508
10.56.34.77,228165,183684,411849
10.56.34.78,1194618,3381193,4575811
10.56.34.79,1131344,5458891,6590235
10.56.34.8,345270,217452,562722
10.56.34.90,724,4974,5698
10.56.35.1,853149,1645146,2498295
10.56.36.10,536244,7968630,8504874
10.56.36.115,797435,11803603,12601038
10.56.36.118,476245,416980,893225
10.56.36.12,427626,361501,789127
10.56.36.120,374648,823151,1197799
10.56.36.127,176633,143806,320439
10.56.36.128,297818,253167,550985
10.56.36.129,473099,3652070,4125169
10.56.36.130,260328,209393,469721
10.56.36.136,1551516,29142008,30693524
10.56.36.147,62056,174358,236414
10.56.36.157,283832,244802,528634
10.56.36.158,257672,203572,461244
10.56.36.175,801156,8945434,9746590
10.56.36.189,226721,209130,435851
10.56.36.19,326607,623132,949739
10.56.36.199,1540,1244,2784
10.56.36.204,303478,259960,563438
10.56.36.206,221456,195020,416476
10.56.36.21,19122,54629,73751
10.56.36.223,857341,716174,1573515
10.56.36.231,274757,271210,545967
10.56.36.252,4529,41675,46204
10.56.36.28,255686,218484,474170
10.56.36.34,3353974,63814124,67168098
10.56.36.51,220411,330863,551274
10.56.36.78,317153,255424,572577
10.56.36.87,437927,389913,827840
10.56.36.9,216648,165014,381662
10.56.36.95,224524,137339,361863
10.56.37.199,38938,32772,71710
10.56.37.2,34154431,60239477,94393908
10.56.37.21,13027,33874,46901
10.56.37.87,26603,26798,53401
10.56.37.98,81499,68812,150311
10.56.38.128,160106,139603,299709
10.56.38.131,179525,175070,354595
10.56.38.18,185726,157681,343407
10.56.38.182,15481,16325,31806
10.56.38.192,24954,43720,68674
10.56.38.199,179893,1039068,1218961
10.56.38.21,125296,336558,461854
10.56.38.223,82806,85961,168767
10.56.38.233,29529,50137,79666
10.56.38.9,407948,336475,744423
10.56.38.98,388536,516560,905096
10.56.4.10,4270,3268,7538
10.56.4.100,115646,102488,218134
10.56.4.101,662,4974,5636
10.56.4.102,257190,181329,438519
10.56.4.103,3325,2655,5980
10.56.4.106,22599,18733,41332
10.56.4.107,535,423,958
10.56.4.109,286488,316649,603137
10.56.4.112,0,0,0
10.56.4.12,334,4475,4809
10.56.4.120,5526,5709,11235
10.56.4.121,2813,11729,14542
10.56.4.122,1120,838,1958
10.56.4.124,4090,5701,9791
10.56.4.125,145267,245816,391083
10.56.4.126,1011958,898568,1910526
10.56.4.127,541,496,1037
10.56.4.128,59129,52582,111711
10.56.4.13,835372,765109,1600481
10.56.4.130,59284,60347,119631
10.56.4.132,1410299,1221304,2631603
10.56.4.133,15850,620709,636559
10.56.4.134,926635,17545007,18471642
10.56.4.135,0,0,0
10.56.4.136,534,399,933
10.56.4.137,12040,140221,152261
10.56.4.138,1341,2566,3907
10.56.4.14,357315,496851,854166
10.56.4.140,383335,292343,675678
10.56.4.142,194352,159492,353844
10.56.4.143,84448,84351,168799
10.56.4.145,13761,70121,83882
10.56.4.146,328924224,803985250,1132909474
10.56.4.147,1386,1116,2502
10.56.4.150,308028,297155,605183
10.56.4.152,417794,926785,1344579
10.56.4.153,334387,299054,633441
10.56.4.155,1367302,2412737,3780039
10.56.4.156,217775,181060,398835
10.56.4.16,1455,19228,20683
10.56.4.161,1685,1944,3629
10.56.4.162,4876058,84693218,89569276
10.56.4.163,557,442,999
10.56.4.164,74629,433940,508569
10.56.4.166,315,4475,4790
10.56.4.167,394001,343478,737479
10.56.4.169,341181,726020,1067201
10.56.4.173,1359829,35239591,36599420
10.56.4.174,17836,26743,44579
10.56.4.178,72302,49162,121464
10.56.4.179,285947,304006,589953
10.56.4.180,22762,626052,648814
10.56.4.181,295046,244014,539060
10.56.4.182,464216,391328,855544
10.56.4.183,27348,76987,104335
10.56.4.187,260025,208489,468514
10.56.4.193,1011,1111,2122
10.56.4.195,1826,5702,7528
10.56.4.196,31541,744316,775857
10.56.4.198,1024,6927,7951
10.56.4.199,3467,17639,21106
10.56.4.20,7882,7724,15606
10.56.4.202,1223,1088,2311
10.56.4.205,533687,393795,927482
10.56.4.206,31071,28465,59536
10.56.4.207,827704,1273787,2101491
10.56.4.208,3200,16081,19281
10.56.4.209,5489,2726,8215
10.56.4.21,351234,345239,696473
10.56.4.210,6257844,134115572,140373416
10.56.4.216,704,4974,5678
10.56.4.217,293317,1425226,1718543
10.56.4.218,726781,587079,1313860
10.56.4.22,285186,237458,522644
10.56.4.220,975,884,1859
10.56.4.221,238695,370733,609428
10.56.4.223,0,0,0
10.56.4.224,54679,2343871,2398550
10.56.4.225,9257,49880,59137
10.56.4.226,672,4972,5644
10.56.4.227,116824,121793,238617
10.56.4.228,212829,157964,370793
10.56.4.229,313984,262258,576242
10.56.4.230,6540,62925,69465
10.56.4.231,208613,175842,384455
10.56.4.232,595411,1711211,2306622
10.56.4.233,6174,1511,7685
10.56.4.234,1559,864,2423
10.56.4.236,4286,1181,5467
10.56.4.237,249578,777620,1027198
10.56.4.238,1671,14091,15762
10.56.4.24,6201,8713,14914
10.56.4.244,192431,235234,427665
10.56.4.245,23897,34934,58831
10.56.4.246,6322,1266,7588
10.56.4.249,588,419,1007
10.56.4.25,372409,646324,1018733
10.56.4.250,0,0,0
10.56.4.251,540,451,991
10.56.4.252,3698,5384,9082
10.56.4.254,240544,195150,435694
10.56.4.255,357887,316364,674251
10.56.4.26,179214,136308,315522
10.56.4.30,8634,45151,53785
10.56.4.33,179603,156962,336565
10.56.4.35,230466,186876,417342
10.56.4.36,221743,179484,401227
10.56.4.37,19550,16963,36513
10.56.4.39,17047,26098,43145
10.56.4.41,290755,225444,516199
10.56.4.44,36746,37849,74595
10.56.4.45,266646582,1781382884,2048029466
10.56.4.48,7311,5771,13082
10.56.4.49,840697,641426,1482123
10.56.4.5,941741,811063,1752804
10.56.4.50,569,455,1024
10.56.4.52,321250,252532,573782
10.56.4.55,340,4475,4815
10.56.4.58,333,4475,4808
10.56.4.59,309,4475,4784
10.56.4.6,336711,266171,602882
10.56.4.63,87422,102362,189784
10.56.4.65,3779,9584,13363
10.56.4.7,535,399,934
10.56.4.70,7760,91921,99681
10.56.4.73,30305,1226474,1256779
10.56.4.74,2094135,41894811,43988946
10.56.4.75,53724,489428,543152
10.56.4.78,1117,848,1965
10.56.4.79,726696,624378,1351074
10.56.4.80,11477,9244,20721
10.56.4.81,31425,745375,776800
10.56.4.83,428710,379661,808371
10.56.4.84,285739,358747,644486
10.56.4.86,364179364,20709922033,21074101397
10.56.4.89,307655,801534,1109189
10.56.4.9,471,427,898
10.56.4.90,2169,14451,16620
10.56.4.91,133214,210400,343614
10.56.4.93,378,4475,4853
10.56.4.94,403204,348865,752069
10.56.4.96,593664,1596447,2190111
10.56.4.98,1333,42423,43756
10.56.41.120,872,4937,5809
10.56.41.123,1040,1407,2447
10.56.41.126,3140,831,3971
10.56.41.162,202827,290665,493492
10.56.41.182,1014,5842,6856
10.56.41.192,0,0,0
10.56.41.223,37471,48062,85533
10.56.41.7,200630,185422,386052
10.56.41.98,423,399,822
10.56.43.115,93653,91569,185222
10.56.43.118,511,399,910
10.56.43.12,27327,380055,407382
10.56.43.120,751,1488,2239
10.56.43.123,6766,4581,11347
10.56.43.126,456369,370845,827214
10.56.43.127,548,442,990
10.56.43.134,2420,2116,4536
10.56.43.147,1009,9453,10462
10.56.43.148,203035,168475,371510
10.56.43.162,215130,167911,383041
10.56.43.175,271586276,561585999,833172275
10.56.43.179,270980,174093,445073
10.56.43.182,304200,1037546,1341746
10.56.43.189,28948,33554,62502
10.56.43.199,239409,196821,436230
10.56.43.204,190982,762357,953339
10.56.43.206,132022,93650,225672
10.56.43.210,24609,32814,57423
10.56.43.225,224005,193201,417206
10.56.43.233,393627,309611,703238
10.56.43.35,1077,781,1858
10.56.43.7,1154,5392,6546
10.56.43.78,1028,798,1826
10.56.43.80,350623,274447,625070
10.56.43.86,522,415,937
10.56.43.87,169291,149713,319004
10.56.43.90,940,4974,5914
10.56.43.95,209938,280050,489988
10.56.43.98,312935,320940,633875
10.56.47.10,940,2643,3583
10.56.47.11,696,4974,5670
10.56.47.111,134233,234373,368606
10.56.47.112,32874,18369,51243
10.56.47.113,32930,4124,37054
10.56.47.117,269426,238952,508378
10.56.47.118,7317468,4935,7322403
10.56.47.123,614232,534638,1148870
10.56.47.124,275721,222950,498671
10.56.47.127,172751,151381,324132
10.56.47.134,1184,924,2108
10.56.47.14,9194,10840,20034
10.56.47.141,359292,308308,667600
10.56.47.143,261807,213483,475290
10.56.47.147,23056058,5465,23061523
10.56.47.148,1246,18250,19496
10.56.47.149,962,844,1806
10.56.47.15,5346,2819,8165
10.56.47.152,48796,132997,181793
10.56.47.153,1561,2045,3606
10.56.47.157,308684,246158,554842
10.56.47.158,119945,130940,250885
10.56.47.16,823787,694523,1518310
10.56.47.163,194067,170536,364603
10.56.47.164,197078,128884,325962
10.56.47.165,13063,197,13260
10.56.47.167,8892,12321,21213
10.56.47.169,0,0,0
10.56.47.172,287775,239785,527560
10.56.47.176,342739,354731,697470
10.56.47.177,1386,1564,2950
10.56.47.178,156821,133000,289821
10.56.47.181,1971,4974,6945
10.56.47.182,2127174,8375037,10502211
10.56.47.183,1121,897,2018
10.56.47.19,2729,3997,6726
10.56.47.191,4238,1618,5856
10.56.47.192,1542,6029,7571
10.56.47.196,637,508,1145
10.56.47.201,505,399,904
10.56.47.202,236923,206820,443743
10.56.47.208,929403,679009,1608412
10.56.47.209,1254,10774,12028
10.56.47.21,179582,169412,348994
10.56.47.211,319884,1015246,1335130
10.56.47.213,337313,246411,583724
10.56.47.214,545,439,984
10.56.47.217,208423,185237,393660
10.56.47.221,1139,600,1739
10.56.47.222,204,0,204
10.56.47.223,143577,131052,274629
10.56.47.226,1182,970,2152
10.56.47.229,273264,237108,510372
10.56.47.235,7236,9327,16563
10.56.47.236,28498,21566,50064
10.56.47.24,269,5120,5389
10.56.47.243,623649,523698,1147347
10.56.47.245,581986,518764,1100750
10.56.47.25,194591,150481,345072
10.56.47.250,397685800,2145557300,2543243100
10.56.47.32,758480,645874,1404354
10.56.47.34,8531,10267,18798
10.56.47.38,19353,17014,36367
10.56.47.43,1287,6600,7887
10.56.47.44,1899,1575,3474
10.56.47.50,334705,280848,615553
10.56.47.51,3104,1275,4379
10.56.47.52,184156,173017,357173
10.56.47.55,2437,482205,484642
10.56.47.56,130119,809935,940054
10.56.47.57,233429,278648,512077
10.56.47.63,220527,188782,409309
10.56.47.64,6737,1327,8064
10.56.47.7,1086,818,1904
10.56.47.77,142971,123017,265988
10.56.47.80,480203,413190,893393
10.56.47.81,214486,182134,396620
10.56.47.82,536,786,1322
10.56.47.84,16230,13982,30212
10.56.47.9,5596,9752,15348
10.56.47.90,3138,3508,6646
10.56.47.92,6707,8093,14800
10.56.47.93,4598,16921,21519
10.56.47.95,605,148,753
10.56.47.97,63116,58891,122007
10.56.47.98,17743,16301,34044
10.56.48.2,57234,77942,135176
10.56.5.0,38820,29621,68441
10.56.5.3,204083,170293,374376
10.56.5.4,7257,1575,8832
10.56.54.10,178226,168123,346349
10.56.54.101,466,485,951
10.56.54.107,2071,348,2419
10.56.54.108,544,442,986
10.56.54.11,112155,118533,230688
10.56.54.110,162393,132987,295380
10.56.54.116,135634,118018,253652
10.56.54.124,531,419,950
10.56.54.127,716,4972,5688
10.56.54.128,207738,145422,353160
10.56.54.129,207356,517894,725250
10.56.54.133,278249,211896,490145
10.56.54.134,0,0,0
10.56.54.142,123986,103819,227805
10.56.54.147,2062,5088,7150
10.56.54.154,305,4475,4780
10.56.54.165,19493,28705,48198
10.56.54.169,851,116,967
10.56.54.176,244107307,580404907,824512214
10.56.54.199,1016,808,1824
10.56.54.204,3231,1966,5197
10.56.54.207,553,399,952
10.56.54.209,140801,114815,255616
10.56.54.211,55059,59199,114258
10.56.54.212,179199,139375,318574
10.56.54.213,85079,116411,201490
10.56.54.214,209491,364545,574036
10.56.54.215,8056,7536,15592
10.56.54.219,244478,247138,491616
10.56.54.221,531,419,950
10.56.54.222,555,787,1342
10.56.54.223,77029,763339,840368
10.56.54.225,953,1059,2012
